doc_id,rouge1,rouge2,rougeL
N01-1020,0.07737104825291181,0.0058284762697751865,0.05074875207986689
N01-1021,0.10714285714285715,0.005988023952095809,0.08928571428571429
N01-1023,0.19841269841269843,0.039999999999999994,0.15873015873015872
N01-1024,0.11842105263157893,0.019867549668874173,0.08552631578947367
N01-1025,0.05128205128205128,0.0,0.05128205128205128
N01-1026,0.0,0.0,0.0
N03-1003,0.07746478873239436,0.0,0.0704225352112676
N03-1014,0.2943396226415094,0.053231939163498096,0.1509433962264151
N03-1016,0.22471910112359553,0.022641509433962263,0.15730337078651685
N03-1017,0.25806451612903225,0.03252032520325203,0.14516129032258063
N03-1020,0.1422594142259414,0.016877637130801686,0.1422594142259414
N03-1021,0.08490878938640134,0.007965482907401261,0.0669983416252073
N03-1022,0.1846153846153846,0.0310077519379845,0.11538461538461539
N03-1024,0.11070110701107011,0.0,0.0885608856088561
N03-1026,0.19354838709677416,0.014440433212996389,0.14336917562724014
N03-1028,0.0927536231884058,0.0058309037900874635,0.063768115942029
N03-1030,0.17421602787456447,0.042105263157894736,0.14634146341463414
N03-1033,0.1216216216216216,0.0,0.1216216216216216
N03-2002,0.14678899082568805,0.018461538461538463,0.09785932721712537
N04-1001,0.28571428571428575,0.047999999999999994,0.20634920634920634
N04-1013,0.14864864864864863,0.03401360544217687,0.10135135135135134
N04-1014,0.16267942583732056,0.019323671497584544,0.16267942583732056
N04-1016,0.330188679245283,0.05714285714285715,0.21698113207547168
N04-1019,0.40540540540540543,0.0958904109589041,0.18918918918918917
N04-1021,0.2686567164179105,0.030303030303030304,0.16417910447761197
N04-1022,0.23208191126279862,0.041237113402061855,0.1501706484641638
N04-1023,0.11857707509881422,0.023904382470119518,0.08695652173913043
N04-1025,0.18134715025906736,0.020833333333333332,0.14507772020725387
N04-1030,0.12666666666666665,0.026845637583892617,0.1
N04-1033,0.08480565371024736,0.0,0.07773851590106007
N04-1035,0.11940298507462688,0.015151515151515154,0.07462686567164178
N04-1041,0.10156250000000001,0.023622047244094488,0.0625
N04-1042,0.16822429906542058,0.012539184952978058,0.11838006230529595
N04-1043,0.10561056105610561,0.013289036544850499,0.099009900990099
N04-3012,0.1639344262295082,0.04132231404958677,0.14754098360655737
N04-4015,0.1824561403508772,0.02120141342756184,0.1333333333333333
N04-4026,0.12535612535612536,0.017191977077363897,0.12535612535612536
N06-1003,0.3179916317991632,0.042194092827004225,0.13389121338912136
N06-1006,0.20447284345047922,0.019292604501607715,0.09584664536741215
N06-1011,0.21221864951768485,0.0,0.12861736334405144
N06-1014,0.18823529411764706,0.015810276679841896,0.16470588235294117
N06-1020,0.0748663101604278,0.0,0.0427807486631016
N06-1025,0.20547945205479454,0.05555555555555555,0.1780821917808219
N06-1033,0.11552346570397112,0.014545454545454544,0.08664259927797835
N06-1039,0.06896551724137931,0.0,0.04926108374384237
N06-1041,0.1956521739130435,0.010989010989010988,0.13043478260869565
N06-1056,0.1267605633802817,0.0070921985815602835,0.1056338028169014
N06-1058,0.2,0.01342281879194631,0.15333333333333332
N06-2013,0.3037974683544304,0.03846153846153846,0.20253164556962025
N06-2015,0.26760563380281693,0.04285714285714286,0.16901408450704225
N06-2033,0.08396946564885496,0.0,0.05343511450381679
N07-1011,0.25531914893617014,0.05,0.18439716312056736
N07-1018,0.08934707903780069,0.01384083044982699,0.08934707903780069
N07-1023,0.19191919191919193,0.01020408163265306,0.101010101010101
N07-1029,0.08947368421052632,0.005291005291005292,0.06842105263157895
N07-1030,0.2097902097902098,0.014184397163120567,0.13986013986013984
N07-1038,0.3645833333333333,0.0736842105263158,0.20833333333333334
N07-1047,0.1818181818181818,0.007042253521126761,0.13286713286713286
N07-1051,0.16935483870967744,0.024390243902439025,0.11290322580645161
N07-1071,0.07434944237918216,0.007490636704119851,0.0520446096654275
N09-1003,0.13617021276595745,0.034334763948497854,0.1276595744680851
N09-1009,0.33513513513513515,0.04371584699453552,0.16216216216216214
N09-1012,0.10452961672473866,0.014035087719298246,0.07665505226480836
N09-1025,0.16417910447761197,0.022556390977443608,0.1492537313432836
N09-1028,0.17777777777777778,0.03007518796992481,0.14814814814814814
N09-1036,0.25,0.0662251655629139,0.17763157894736842
N09-1037,0.2052785923753666,0.041297935103244844,0.14662756598240467
N09-1041,0.15789473684210528,0.0303030303030303,0.13533834586466165
N09-1046,0.30851063829787234,0.021505376344086023,0.14893617021276598
N09-2004,0.20512820512820512,0.014760147601476016,0.1684981684981685
N10-1013,0.30337078651685395,0.06818181818181818,0.15730337078651685
N10-1019,0.09345794392523364,0.009433962264150943,0.06542056074766356
N10-1020,0.2646153846153846,0.03095975232198142,0.1846153846153846
N10-1056,0.22346368715083798,0.03389830508474576,0.13407821229050276
N10-1061,0.12676056338028172,0.02127659574468085,0.09154929577464788
N10-1063,0.14330218068535827,0.03134796238244513,0.1308411214953271
N10-1115,0.2426229508196721,0.013201320132013201,0.1377049180327869
N10-1119,0.15723270440251572,0.018987341772151896,0.09433962264150945
N12-1047,0.10909090909090909,0.01465201465201465,0.10909090909090909
N12-1052,0.13411078717201166,0.023460410557184747,0.09329446064139943
N12-1067,0.2594142259414226,0.0759493670886076,0.1673640167364017
N13-1039,0.03496503496503497,0.00704225352112676,0.03496503496503497
