doc_id,rouge1,rouge2,rougeL
P03-1023,0.16718266253869968,0.037383177570093455,0.15479876160990713
P03-1029,0.32967032967032966,0.07777777777777778,0.15384615384615385
P03-1035,0.42,0.1818181818181818,0.19999999999999998
P03-1044,0.23684210526315788,0.059602649006622516,0.19078947368421054
P03-1054,0.0,0.0,0.0
P03-1056,0.1842610364683301,0.01730769230769231,0.12476007677543186
P03-1058,0.25688073394495414,0.01846153846153846,0.17737003058103976
P03-1069,0.2101449275362319,0.04379562043795619,0.15942028985507245
P03-1071,0.23529411764705882,0.02985074626865672,0.11764705882352941
P03-2026,0.4625850340136055,0.13793103448275862,0.20408163265306123
P03-2041,0.07017543859649122,0.0,0.043859649122807015
P04-1005,0.25000000000000006,0.034013605442176874,0.20945945945945946
P04-1013,0.16216216216216214,0.0272108843537415,0.13513513513513511
P04-1014,0.11409395973154361,0.006756756756756757,0.11409395973154361
P04-1015,0.1484375,0.0,0.0859375
P04-1018,0.24427480916030536,0.05384615384615385,0.19083969465648853
P04-1021,0.08247422680412371,0.010416666666666668,0.05154639175257732
P04-1035,0.24,0.06122448979591836,0.13999999999999999
P04-1036,0.19594594594594594,0.0272108843537415,0.10810810810810811
P04-1041,0.13612565445026178,0.021164021164021166,0.09424083769633507
P04-1043,0.15261044176706828,0.024291497975708502,0.13654618473895583
P04-1053,0.1256038647342995,0.02926829268292683,0.06763285024154589
P04-1054,0.11016949152542373,0.017094017094017092,0.06779661016949153
P04-1056,0.10408921933085502,0.0149812734082397,0.07434944237918216
P04-1061,0.11538461538461539,0.0,0.11538461538461539
P04-1066,0.16546762589928057,0.014492753623188408,0.12949640287769784
P04-1075,0.1597444089456869,0.02572347266881029,0.14057507987220447
P04-1077,0.13315400134498992,0.009427609427609427,0.06859448554135845
P04-1083,0.22857142857142854,0.09352517985611511,0.15714285714285714
P04-1085,0.34080717488789236,0.14479638009049775,0.17937219730941703
P04-3022,0.09361702127659574,0.0,0.0851063829787234
P05-1001,0.17500000000000002,0.018867924528301883,0.15625
P05-1010,0.12456747404844291,0.006968641114982578,0.10380622837370242
P05-1011,0.16759776536312848,0.06779661016949153,0.12290502793296089
P05-1012,0.0,0.0,0.0
P05-1013,0.2959641255605381,0.0995475113122172,0.16143497757847533
P05-1015,0.11898016997167138,0.011396011396011395,0.11331444759206799
P05-1017,0.22377622377622378,0.04929577464788732,0.17482517482517484
P05-1018,0.3775510204081633,0.10309278350515463,0.22448979591836735
P05-1020,0.25396825396825395,0.072,0.15873015873015872
P05-1022,0.23255813953488375,0.04694835680751175,0.17674418604651163
P05-1033,0.1078838174273859,0.0,0.0995850622406639
P05-1034,0.2248995983935743,0.032388663967611336,0.1606425702811245
P05-1036,0.11074918566775244,0.013114754098360656,0.09771986970684038
P05-1044,0.12017167381974249,0.0,0.12017167381974249
P05-1045,0.2577319587628866,0.04166666666666667,0.13402061855670103
P05-1047,0.2900763358778626,0.10852713178294573,0.2137404580152672
P05-1052,0.2514285714285714,0.09195402298850573,0.14857142857142858
P05-1053,0.13675213675213677,0.017241379310344827,0.10256410256410256
P05-1057,0.3228070175438597,0.1696113074204947,0.23859649122807022
P05-1059,0.08064516129032258,0.0,0.06451612903225806
P05-1065,0.2948717948717949,0.10967741935483871,0.17307692307692307
P05-1066,0.1978021978021978,0.04428044280442805,0.1391941391941392
P05-1067,0.1935483870967742,0.07079646017699115,0.1348973607038123
P05-1071,0.11627906976744184,0.0078125,0.10077519379844961
P05-1072,0.25423728813559326,0.05681818181818181,0.1638418079096045
P05-1073,0.08239700374531835,0.0,0.08239700374531835
P05-1074,0.18983050847457628,0.034129692832764506,0.1423728813559322
P05-1077,0.15107913669064751,0.028985507246376815,0.15107913669064751
P05-2008,0.11764705882352941,0.012461059190031152,0.10526315789473684
P05-3026,0.3068181818181818,0.05714285714285714,0.1534090909090909
P06-1004,0.23391812865497078,0.02366863905325444,0.15204678362573099
P06-1005,0.06666666666666667,0.0,0.03333333333333333
P06-1009,0.2702702702702703,0.04761904761904761,0.12837837837837837
P06-1010,0.18064516129032257,0.025974025974025972,0.12903225806451615
P06-1011,0.15748031496062992,0.0,0.07874015748031496
