doc_id,rouge1,rouge2,rougeL
A00-1031,0.27586206896551724,0.017543859649122806,0.13793103448275862
A00-1043,0.10567010309278352,0.025806451612903233,0.059278350515463915
A00-2004,0.20689655172413796,0.0,0.13793103448275862
A00-2009,0.3541666666666667,0.1702127659574468,0.2708333333333333
A00-2018,0.6384976525821596,0.5497630331753555,0.6103286384976526
A00-2019,0.25899280575539574,0.0,0.15827338129496404
A00-2024,0.4102564102564103,0.1120689655172414,0.2136752136752137
A00-2026,0.36885245901639346,0.12396694214876035,0.21311475409836067
A00-2030,0.3137254901960785,0.1,0.17647058823529413
A00-2031,0.07547169811320754,0.0,0.07547169811320754
A00-2034,0.39160839160839156,0.19858156028368792,0.27972027972027974
A88-1019,0.09157509157509157,0.0018348623853211008,0.05128205128205128
A92-1018,0.1742690058479532,0.1510538641686183,0.1485380116959064
A92-1021,0.48648648648648646,0.28793774319066145,0.33204633204633205
A94-1006,0.6347607052896725,0.4810126582278481,0.5440806045340051
A94-1009,0.450199203187251,0.388,0.43027888446215135
A97-1004,0.37125748502994016,0.10909090909090909,0.23952095808383236
A97-1011,0.37606837606837606,0.052173913043478265,0.30769230769230765
A97-1014,0.3055555555555555,0.04225352112676056,0.19444444444444445
A97-1029,0.03225806451612903,0.0,0.03225806451612903
A97-1030,0.06451612903225806,0.021978021978021976,0.06451612903225806
A97-1052,0.05089903181189488,0.017713811237199003,0.029322268326417704
C02-1011,0.5611510791366907,0.34782608695652173,0.46043165467625896
C02-1054,0.41463414634146345,0.24691358024691357,0.3048780487804878
C02-1114,0.3191489361702128,0.06451612903225806,0.1914893617021277
C02-1144,0.3081570996978852,0.06686930091185411,0.15105740181268884
C02-1150,0.40414507772020725,0.16753926701570682,0.24870466321243523
C04-1010,0.2193548387096774,0.013071895424836602,0.15483870967741933
C04-1024,0.26126126126126126,0.09999999999999999,0.18918918918918917
C04-1041,0.0,0.0,0.0
C04-1051,0.0,0.0,0.0
C04-1059,0.37869822485207105,0.08383233532934133,0.20118343195266272
C04-1072,0.017699115044247787,0.0,0.017699115044247787
C04-1080,0.4236453201970443,0.19900497512437812,0.25615763546798026
C04-1081,0.19999999999999998,0.09259259259259259,0.12727272727272723
C04-1111,0.47668393782383417,0.21989528795811522,0.2901554404145078
C04-1146,0.02247191011235955,0.0,0.02247191011235955
C04-1197,0.4285714285714286,0.11842105263157894,0.27272727272727276
C04-1200,0.4074074074074074,0.07500000000000001,0.23456790123456792
C08-1018,0.44848484848484843,0.11042944785276075,0.24242424242424243
C08-1022,0.25373134328358204,0.0,0.16417910447761194
C08-1098,0.0449438202247191,0.0,0.0449438202247191
C08-1107,0.2422145328719723,0.04181184668989547,0.19377162629757785
C08-1109,0.2697674418604651,0.056338028169014086,0.20465116279069767
C08-1114,0.34389140271493207,0.091324200913242,0.15384615384615385
C10-1011,0.36764705882352944,0.09629629629629628,0.18382352941176472
C10-1152,0.5130890052356021,0.14814814814814817,0.28272251308900526
C10-2005,0.5056603773584906,0.25095057034220536,0.3018867924528302
C10-2028,0.4295774647887324,0.14893617021276595,0.27464788732394363
C86-1045,0.267515923566879,0.038709677419354833,0.16560509554140126
C90-2067,0.695187165775401,0.5189189189189191,0.6524064171122995
C90-3045,0.08955223880597014,0.0303030303030303,0.05970149253731343
C92-1019,0.1794871794871795,0.07792207792207792,0.11538461538461538
